,news_article_title,urls,Partnership ,is_student_reported
0,Orange County’s Push for its First Veterans Cemetery Gains Momentum,https://voiceofoc.org/2024/07/orange-countys-push-for-its-first-veterans-cemetery-gains-momentum/,,False
1,Laguna Beach Considers Asking Voters to Increase Hotel Tax,https://voiceofoc.org/2024/07/laguna-beach-considers-asking-voters-to-increase-hotel-tax/,,False
2,A Time For Chicanos and Chicanas,https://voiceofoc.org/2023/08/a-time-for-chicanos-and-chicanas/,,False
3,Fountain Valley Looks to Regulate Sober Living Homes,https://voiceofoc.org/2023/11/fountain-valley-looks-to-regulate-sober-living-homes/,Voice of OC,True
4,--Fountain Valley Allows Digital Freeway Advertising; Will Drivers be Distracted?,https://voiceofoc.org/2024/05/fountain-valley-allows-digital-freeway-advertising-will-drivers-be-distracted/,Voice of OC,False
5,-- La Habra’s Rent Relief Program for Mobile Home Residents Sees Low Turnout Rate,https://voiceofoc.org/2023/12/la-habras-rent-relief-program-for-mobile-home-residents-sees-low-turnout-rate/,Voice of OC,True
6,--Rancho Santa Margarita Moves Forward With District Election Map,https://voiceofoc.org/2023/11/rancho-santa-margarita-moves-forward-with-district-election-map/,Voice of OC,True
7,-- Fountain Valley to Test Out a Four-Day Work Week at City Hall,https://voiceofoc.org/2024/06/fountain-valley-to-test-out-a-four-day-work-week-at-city-hall/,Voice of OC,False
8,-- OC Library Visits Climb as Irvine Looks to Leave County Library Network,https://voiceofoc.org/2024/06/oc-library-visits-climb-as-irvine-looks-to-leave-county-library-network/,Voice of OC,True
9,"-- La Habra Car Crashes Are Up, City Officials Scramble to Combat Spike",https://voiceofoc.org/2021/12/la-habra-car-crashes-are-up-city-officials-scramble-to-combat-spike/,Voice of OC,True
10,-- La Habra Will Display Phrase ‘In God We Trust’ in City Council Chambers,https://voiceofoc.org/2021/05/la-habra-will-display-phrase-in-god-we-trust-in-city-council-chambers/,Voice of OC,True
11,La Habra to Require Affordable Units in Developments of 10 or More Homes,https://voiceofoc.org/2021/04/la-habra-to-require-affordable-units-in-developments-of-10-or-more-homes/,Voice of OC,True
12,Newport Beach Permits Wine Tasting Rooms to Operate Within The City’s Industrial Zone,https://voiceofoc.org/2021/04/newport-beach-permits-wine-tasting-rooms-to-operate-within-the-citys-industrial-zone/,Voice of OC,True
13,Fullerton Repeals Ordinance Allowing Cannabis Stores; La Habra and Costa Mesa Push Forward With Regulations,https://voiceofoc.org/2021/03/fullerton-repeals-ordinance-allowing-cannabis-stores-la-habra-and-costa-mesa-push-forward-with-regulations/,Voice of OC,True
